E	S	MS	BG	ST
 879.35	 128611.59375	 128552.7265625	 0	 58.8641128540039
 879.25	 128318.6015625	 128286.7890625	 0	 31.8133735656738
 879.15	 127864.7578125	 127800.359375	 0	 64.4008483886719
 879.05	 128180.2578125	 128101.1328125	 0	 79.1235504150391
 878.95	 127628.171875	 127596.5546875	 0	 31.6161670684814
 878.85	 127145.4609375	 127074.5859375	 0	 70.8744430541992
 878.75	 127227.8828125	 127168.453125	 0	 59.4332962036133
 878.65	 127282.1015625	 127211.171875	 0	 70.9339370727539
 878.55	 127138.5078125	 127073.109375	 0	 65.4028015136719
 878.45	 126743.1796875	 126659.09375	 0	 84.0903396606445
 878.35	 126762.734375	 126657.796875	 0	 104.939147949219
 878.25	 126429.3671875	 126315.0078125	 0	 114.359741210937
 878.15	 125892.7265625	 125802.421875	 0	 90.3020095825195
 878.05	 125718.9453125	 125657.1875	 0	 61.7578239440918
 877.95	 124858.5390625	 124748.9140625	 0	 109.622550964355
 877.85	 124781.53125	 124650.578125	 0	 130.954772949219
 877.75	 124114.3984375	 123993.515625	 0	 120.88410949707
 877.65	 123860.6484375	 123746.53125	 0	 114.119438171387
 877.55	 123633.59375	 123483.078125	 0	 150.520614624023
 877.45	 123219.75	 123075.3828125	 0	 144.366958618164
 877.35	 123359.546875	 123239.34375	 0	 120.200912475586
 877.25	 122609.078125	 122474.5859375	 0	 134.491058349609
 877.15	 122807.2265625	 122659.765625	 0	 147.45817565918
 877.05	 123758.6640625	 123615.828125	 0	 142.827941894531
 876.95	 122991.90625	 122832.1328125	 0	 159.774612426758
 876.85	 122204.6171875	 122029.09375	 0	 175.529998779297
 876.75	 121769.9140625	 121571.921875	 0	 197.990188598633
 876.65	 121080.5859375	 120902.78125	 0	 177.810455322266
 876.55	 121529.6171875	 121330.390625	 0	 199.230438232422
 876.45	 121324.4765625	 121122.125	 0	 202.349822998047
 876.35	 121314.7421875	 121096.5	 0	 218.246292114258
 876.25	 121482.46875	 121259.34375	 0	 223.11637878418
 876.15	 121091.7578125	 120854.0546875	 0	 237.707138061523
 876.05	 121611.8203125	 121377.203125	 0	 234.61311340332
 875.95	 121923.9296875	 121640.421875	 0	 283.503295898437
 875.85	 121206.359375	 120908.203125	 0	 298.161071777344
 875.75	 121028.6875	 120746.7890625	 0	 281.895965576172
 875.65	 121724.328125	 121446.5	 0	 277.834686279297
 875.55	 121510.5390625	 121199.828125	 0	 310.711578369141
 875.45	 121221.140625	 120879.71875	 0	 341.430053710937
 875.35	 121560.875	 121223.9375	 0	 336.937042236328
 875.25	 121371.0625	 120981.921875	 0	 389.139404296875
 875.15	 121931.4453125	 121547.671875	 0	 383.775909423828
 875.05	 122180.8125	 121778.6796875	 0	 402.133697509766
 874.95	 122367.4453125	 121906.265625	 0	 461.175445556641
 874.85	 122450.484375	 122004.953125	 0	 445.533020019531
 874.75	 122721.015625	 122248.9296875	 0	 472.087432861328
 874.65	 122989.2578125	 122516.21875	 0	 473.039154052734
 874.55	 123187.9296875	 122669.2578125	 0	 518.668884277344
 874.45	 123842.3671875	 123316.9296875	 0	 525.440307617188
 874.35	 124457.78125	 123888.40625	 0	 569.375427246094
 874.25	 124132.609375	 123596.8359375	 0	 535.777648925781
 874.15	 124551.359375	 123967.46875	 0	 583.890197753906
 874.05	 124556.453125	 123920.6796875	 0	 635.772521972656
 873.95	 125007.96875	 124363.6953125	 0	 644.272521972656
 873.85	 125896.21875	 125190.9453125	 0	 705.275146484375
 873.75	 125830.375	 125133	 0	 697.379150390625
 873.65	 125874.9296875	 125173.2265625	 0	 701.705383300781
 873.55	 126146.34375	 125395.5234375	 0	 750.818176269531
 873.45	 126302.6796875	 125509.640625	 0	 793.041137695312
 873.35	 126070.3359375	 125265.75	 0	 804.585754394531
 873.25	 126255.140625	 125409.5859375	 0	 845.549194335938
 873.15	 127068.3984375	 126195.0859375	 0	 873.3154296875
 873.05	 126722.3046875	 125791.515625	 0	 930.787780761719
 872.95	 127097.9453125	 126134.2265625	 0	 963.721740722656
 872.85	 125928.8046875	 124959.5	 0	 969.303894042969
 872.75	 126240.625	 125239.1796875	 0	 1001.44689941406
 872.65	 125895.296875	 124849.90625	 0	 1045.39184570312
 872.55	 125951.7421875	 124892.796875	 0	 1058.94274902344
 872.45	 125308.640625	 124212.421875	 0	 1096.22314453125
 872.35	 125102.4765625	 123944.796875	 0	 1157.6826171875
 872.25	 125221.1953125	 124059.6171875	 0	 1161.58239746094
 872.15	 124615.84375	 123412.1796875	 0	 1203.65771484375
 872.05	 124311.25	 123033.0703125	 0	 1278.18273925781
 871.95	 123645.25	 122358.6875	 0	 1286.56762695312
 871.85	 123406.7734375	 122041.7265625	 0	 1365.04565429687
 871.75	 122899.96875	 121514.875	 0	 1385.09741210937
 871.65	 123141.25	 121751.859375	 0	 1389.39428710937
 871.55	 122523.671875	 121095.171875	 0	 1428.49609375
 871.45	 121501.171875	 119992.328125	 0	 1508.84204101562
 871.35	 121157.046875	 119627.359375	 0	 1529.68249511719
 871.25	 120309.90625	 118804.890625	 0	 1505.01513671875
 871.15	 118916.46875	 117340.4375	 0	 1576.03283691406
 871.05	 117572.328125	 115978.5390625	 0	 1593.79357910156
 870.95	 116684.9296875	 115095.3125	 0	 1589.61596679688
 870.85	 114563.5859375	 112917.765625	 0	 1645.81640625
 870.75	 113021.8125	 111366.671875	 0	 1655.134765625
 870.65	 111824.71875	 110170.78125	 0	 1653.93566894531
 870.55	 110232.625	 108568.34375	 0	 1664.28247070312
 870.45	 109346.2890625	 107615.484375	 0	 1730.80053710937
 870.35	 107962.8046875	 106251.703125	 0	 1711.09802246094
 870.25	 107850.734375	 106117.8984375	 0	 1732.83447265625
 870.15	 106360.21875	 104586.7421875	 0	 1773.47839355469
 870.05	 106215.5703125	 104407.6953125	 0	 1807.87414550781
 869.95	 105373.265625	 103564.796875	 0	 1808.46838378906
 869.85	 104784.640625	 102909.375	 0	 1875.267578125
 869.75	 104707.5390625	 102849.828125	 0	 1857.71130371094
 869.65	 104453.59375	 102569.0703125	 0	 1884.52709960937
 869.55	 103610.953125	 101716.25	 0	 1894.70336914062
 869.45	 103414.7578125	 101495.1015625	 0	 1919.65686035156
 869.35	 103477.46875	 101573.4609375	 0	 1904.01037597656
 869.25	 103555.171875	 101640.9296875	 0	 1914.24450683594
 869.15	 103602.96875	 101682.2109375	 0	 1920.75842285156
 869.05	 103902.625	 102012.34375	 0	 1890.28039550781
 868.95	 103520.7890625	 101623.8515625	 0	 1896.93994140625
 868.85	 103629.1015625	 101694.5625	 0	 1934.54260253906
 868.75	 103635.890625	 101703.25	 0	 1932.64111328125
 868.65	 103827.7890625	 101926.671875	 0	 1901.11608886719
 868.55	 104122.9765625	 102205.75	 0	 1917.22058105469
 868.45	 104047.375	 102119.90625	 0	 1927.470703125
 868.35	 103895.78125	 102012.8125	 0	 1882.9736328125
 868.25	 104053.2109375	 102166.6015625	 0	 1886.6123046875
 868.15	 103819.9921875	 101968.34375	 0	 1851.64428710937
 868.05	 103694.171875	 101835.953125	 0	 1858.216796875
 867.95	 104684.390625	 102863.578125	 0	 1820.81530761719
 867.85	 104575.6875	 102742.421875	 0	 1833.26196289062
 867.75	 104915.828125	 103108.59375	 0	 1807.23205566406
 867.65	 105049.703125	 103249.5625	 0	 1800.14245605469
 867.55	 104956.703125	 103137.28125	 0	 1819.42407226562
 867.45	 105057.0390625	 103283.9140625	 0	 1773.12609863281
 867.35	 105401.8515625	 103621.9296875	 0	 1779.91979980469
 867.25	 105124.21875	 103260.453125	 0	 1863.76220703125
 867.15	 105811.484375	 104004.625	 0	 1806.85864257812
 867.05	 105302.125	 103552.6484375	 0	 1749.48217773437
 866.95	 105722.0234375	 103986.1875	 0	 1735.83178710937
 866.85	 105368.390625	 103663.4453125	 0	 1704.94226074219
 866.75	 105660.140625	 103922.2421875	 0	 1737.89465332031
 866.65	 106150.703125	 104426.09375	 0	 1724.61181640625
 866.55	 106084.6015625	 104352.1953125	 0	 1732.41101074219
 866.45	 105473.34375	 103728.34375	 0	 1745.00170898437
 866.35	 105306.3203125	 103591.59375	 0	 1714.72570800781
 866.25	 106371.53125	 104615.78125	 0	 1755.75158691406
 866.15	 106342.8203125	 104589.96875	 0	 1752.84655761719
 866.05	 106425.0703125	 104711.09375	 0	 1713.97387695312
 865.95	 106774.2734375	 105080.5625	 0	 1693.71740722656
 865.85	 106458.1875	 104713.703125	 0	 1744.484375
 865.75	 106483.453125	 104753.625	 0	 1729.83032226562
 865.65	 106068.9375	 104360.8984375	 0	 1708.04077148437
 865.55	 106171.8984375	 104424.3515625	 0	 1747.54418945312
 865.45	 106495.2109375	 104777.5390625	 0	 1717.67248535156
 865.35	 106938.328125	 105170.2890625	 0	 1768.03479003906
 865.25	 107030.8203125	 105203.8984375	 0	 1826.91967773437
 865.15	 107533.71875	 105710.8515625	 0	 1822.86364746094
 865.05	 107586.7421875	 105772.3203125	 0	 1814.42248535156
 864.95	 107966.3828125	 106138.3125	 0	 1828.07006835937
 864.85	 108585.8203125	 106750.8828125	 0	 1834.93481445312
 864.75	 109332.6015625	 107461.140625	 0	 1871.46813964844
 864.65	 109115.78125	 107196.0234375	 0	 1919.751953125
 864.55	 110216.7265625	 108251.96875	 0	 1964.75476074219
 864.45	 109941.0859375	 107979.8984375	 0	 1961.18383789062
 864.35	 110392.9375	 108408.640625	 0	 1984.30126953125
 864.25	 110950.53125	 108938.59375	 0	 2011.931640625
 864.15	 110983.359375	 108923.140625	 0	 2060.21704101562
 864.05	 111488.8515625	 109385.9921875	 0	 2102.86376953125
 863.95	 111997.390625	 109893.09375	 0	 2104.298828125
 863.85	 112195.8125	 110054.5	 0	 2141.31225585937
 863.75	 112690.203125	 110528.890625	 0	 2161.30590820312
 863.65	 113108.875	 110938.875	 0	 2170.00610351562
 863.55	 112872.1953125	 110692.171875	 0	 2180.02392578125
 863.45	 114021.328125	 111829.296875	 0	 2192.02978515625
 863.35	 113965.515625	 111691.75	 0	 2273.75903320313
 863.25	 114574.953125	 112306.0390625	 0	 2268.91333007812
 863.15	 115187.8046875	 112879.0390625	 0	 2308.771484375
 863.05	 115635.828125	 113388.2734375	 0	 2247.55395507812
 862.95	 115564.265625	 113277.34375	 0	 2286.92700195313
 862.85	 116795.8125	 114512.5	 0	 2283.31518554687
 862.75	 117051.2734375	 114746.046875	 0	 2305.22973632813
 862.65	 117192.9453125	 114898.5	 0	 2294.4384765625
 862.55	 117736.2265625	 115427.703125	 0	 2308.52734375
 862.45	 118786.3515625	 116466.3359375	 0	 2320.01123046875
 862.35	 119678.6640625	 117372.8671875	 0	 2305.79467773438
 862.25	 119796.4765625	 117505.390625	 0	 2291.0908203125
 862.15	 120185.5625	 117911.203125	 0	 2274.35913085937
 862.05	 120485.5546875	 118191.453125	 0	 2294.09716796875
 861.95	 120818.4296875	 118546.8203125	 0	 2271.60961914062
 861.85	 121049.796875	 118747.2421875	 0	 2302.55126953125
 861.75	 121718.046875	 119436.34375	 0	 2281.701171875
 861.65	 121878.2109375	 119649.953125	 0	 2228.25561523437
 861.55	 122337.15625	 120126.5	 0	 2210.654296875
 861.45	 122607.078125	 120431.5	 0	 2175.57250976562
 861.35	 123223.6640625	 121104.3046875	 0	 2119.35717773437
 861.25	 122024.1328125	 119994.09375	 0	 2030.03723144531
 861.15	 121822.421875	 119822.9375	 0	 1999.48681640625
 861.05	 121649.4765625	 119815.65625	 0	 1833.82507324219
 860.95	 121524.3828125	 119772.140625	 0	 1752.24340820313
 860.85	 120829.6171875	 119153.234375	 0	 1676.38342285156
 860.75	 119672.546875	 118086.8125	 0	 1585.73547363281
 860.65	 118945.1484375	 117435.7578125	 0	 1509.39245605469
 860.55	 118316.640625	 116889.765625	 0	 1426.87475585937
 860.45	 117302.8828125	 115870.71875	 0	 1432.16430664062
 860.35	 117348.5078125	 116028.6875	 0	 1319.82019042969
 860.25	 116345.890625	 115038.1640625	 0	 1307.724609375
 860.15	 115592.0859375	 114348.8671875	 0	 1243.22204589844
 860.05	 115284.3125	 114087.7890625	 0	 1196.52136230469
 859.95	 113711.53125	 112525.46875	 0	 1186.060546875
 859.85	 113436.484375	 112250.4921875	 0	 1185.99182128906
 859.75	 112986.65625	 111867.6796875	 0	 1118.97973632812
 859.65	 112135.703125	 111058.2421875	 0	 1077.45629882812
 859.55	 111500.6640625	 110418.515625	 0	 1082.14892578125
 859.45	 110823.7578125	 109756.0546875	 0	 1067.70092773437
 859.35	 110073.78125	 109041.1875	 0	 1032.59191894531
 859.25	 109699.34375	 108681.546875	 0	 1017.79522705078
 859.15	 109037.796875	 108065.5390625	 0	 972.255065917969
 859.05	 108751.359375	 107837.1953125	 0	 914.169006347656
 858.95	 108783.7109375	 107910.4375	 0	 873.278869628906
 858.85	 108635.4296875	 107779.5859375	 0	 855.843078613281
 858.75	 108659.578125	 107830.375	 0	 829.207946777344
 858.65	 108312.3125	 107510.875	 0	 801.435791015625
 858.55	 108353.453125	 107594.5	 0	 758.957763671875
 858.45	 108503.765625	 107730.65625	 0	 773.104675292969
 858.35	 108779.703125	 108062.6484375	 0	 717.050842285156
 858.25	 108942.546875	 108230.8984375	 0	 711.651733398437
 858.15	 109430.03125	 108673.4765625	 0	 756.548828125
 858.05	 110159.3203125	 109426.8984375	 0	 732.425537109375
 857.95	 111005.59375	 110244.7890625	 0	 760.803039550781
 857.85	 111763.328125	 110996.265625	 0	 767.06689453125
 857.75	 112114.4453125	 111375.0625	 0	 739.386169433594
 857.65	 113439.9765625	 112696.109375	 0	 743.861267089844
 857.55	 114535.3984375	 113759.2578125	 0	 776.138916015625
 857.45	 115529	 114768.625	 0	 760.379821777344
 857.35	 116862.765625	 116049.046875	 0	 813.718444824219
 857.25	 117963.109375	 117158.1953125	 0	 804.91845703125
 857.15	 118851.234375	 118027.6796875	 0	 823.553894042969
 857.05	 120018.921875	 119207.3984375	 0	 811.51953125
 856.95	 121286.3984375	 120447.109375	 0	 839.291931152344
 856.85	 122594.1796875	 121709.640625	 0	 884.534729003906
 856.75	 123683.1875	 122792.875	 0	 890.3125
 856.65	 124715.625	 123862.671875	 0	 852.958862304688
 856.55	 126186.75	 125340.7578125	 0	 845.995849609375
