E	K_beta
18.9	1.39506E-6
19	1.40089E-6
19.1	1.40677E-6
19.2	1.41268E-6
19.3	1.41863E-6
19.4	1.42461E-6
19.5	1.43063E-6
19.6	1.4367E-6
19.7	1.4428E-6
19.8	1.44894E-6
19.9	1.45512E-6
20	1.46134E-6
20.1	1.4676E-6
20.2	1.4739E-6
20.3	1.48024E-6
20.4	1.48662E-6
20.5	1.49305E-6
20.6	1.49951E-6
20.7	1.50602E-6
20.8	1.51257E-6
20.9	1.51917E-6
21	1.5258E-6
21.1	1.53249E-6
21.2	1.53921E-6
21.3	1.54598E-6
21.4	1.5528E-6
21.5	1.55966E-6
21.6	1.56657E-6
21.7	1.57352E-6
21.8	1.58052E-6
21.9	1.58757E-6
22	1.59466E-6
22.1	1.6018E-6
22.2	1.60899E-6
22.3	1.61623E-6
22.4	1.62352E-6
22.5	1.63086E-6
22.6	1.63825E-6
22.7	1.64569E-6
22.8	1.65318E-6
22.9	1.66072E-6
23	1.66832E-6
23.1	1.67596E-6
23.2	1.68366E-6
23.3	1.69142E-6
23.4	1.69922E-6
23.5	1.70709E-6
23.6	1.715E-6
23.7	1.72298E-6
23.8	1.731E-6
23.9	1.73909E-6
24	1.74723E-6
24.1	1.75543E-6
24.2	1.76369E-6
24.3	1.77201E-6
24.4	1.78039E-6
24.5	1.78882E-6
24.6	1.79732E-6
24.7	1.80588E-6
24.8	1.8145E-6
24.9	1.82318E-6
25	1.83193E-6
25.1	1.84074E-6
25.2	1.84961E-6
25.3	1.85855E-6
25.4	1.86755E-6
25.5	1.87662E-6
25.6	1.88576E-6
25.7	1.89496E-6
25.8	1.90423E-6
25.9	1.91357E-6
26	1.92298E-6
26.1	1.93246E-6
26.2	1.94201E-6
26.3	1.95164E-6
26.4	1.96133E-6
26.5	1.9711E-6
26.6	1.98094E-6
26.7	1.99086E-6
26.8	2.00085E-6
26.9	2.01092E-6
27	2.02106E-6
27.1	2.03128E-6
27.2	2.04158E-6
27.3	2.05196E-6
27.4	2.06242E-6
27.5	2.07296E-6
27.6	2.08358E-6
27.7	2.09429E-6
27.8	2.10508E-6
27.9	2.11595E-6
28	2.12691E-6
28.1	2.13795E-6
28.2	2.14908E-6
28.3	2.1603E-6
28.4	2.17161E-6
28.5	2.18301E-6
28.6	2.19449E-6
28.7	2.20607E-6
28.8	2.21775E-6
28.9	2.22951E-6
29	2.24138E-6
29.1	2.25333E-6
29.2	2.26539E-6
29.3	2.27754E-6
29.4	2.28979E-6
29.5	2.30214E-6
29.6	2.3146E-6
29.7	2.32715E-6
29.8	2.33981E-6
29.9	2.35257E-6
30	2.36544E-6
30.1	2.37842E-6
30.2	2.3915E-6
30.3	2.4047E-6
30.4	2.418E-6
30.5	2.43142E-6
30.6	2.44495E-6
30.7	2.45859E-6
30.8	2.47235E-6
30.9	2.48623E-6
31	2.50022E-6
31.1	2.51434E-6
31.2	2.52858E-6
31.3	2.54294E-6
31.4	2.55742E-6
31.5	2.57203E-6
31.6	2.58676E-6
31.7	2.60163E-6
31.8	2.61662E-6
31.9	2.63175E-6
32	2.64701E-6
32.1	2.6624E-6
32.2	2.67793E-6
32.3	2.6936E-6
32.4	2.70941E-6
32.5	2.72536E-6
32.6	2.74145E-6
32.7	2.75769E-6
32.8	2.77408E-6
32.9	2.79061E-6
33	2.80729E-6
33.1	2.82413E-6
33.2	2.84112E-6
33.3	2.85826E-6
33.4	2.87556E-6
33.5	2.89303E-6
33.6	2.91065E-6
33.7	2.92844E-6
33.8	2.94639E-6
33.9	2.96452E-6
34	2.98281E-6
34.1	3.00127E-6
34.2	3.01991E-6
34.3	3.03873E-6
34.4	3.05773E-6
34.5	3.0769E-6
34.6	3.09626E-6
34.7	3.11581E-6
34.8	3.13555E-6
34.9	3.15547E-6
35	3.1756E-6
35.1	3.19591E-6
35.2	3.21643E-6
35.3	3.23715E-6
35.4	3.25807E-6
35.5	3.2792E-6
35.6	3.30054E-6
35.7	3.32209E-6
35.8	3.34385E-6
35.9	3.36584E-6
36	3.38805E-6
36.1	3.41048E-6
36.2	3.43314E-6
36.3	3.45603E-6
36.4	3.47915E-6
36.5	3.50251E-6
36.6	3.52612E-6
36.7	3.54996E-6
36.8	3.57406E-6
36.9	3.5984E-6
37	3.62301E-6
37.1	3.64787E-6
37.2	3.67299E-6
37.3	3.69838E-6
37.4	3.72403E-6
37.5	3.74997E-6
37.6	3.77618E-6
37.7	3.80267E-6
37.8	3.82945E-6
37.9	3.85652E-6
38	3.88389E-6
38.1	3.91155E-6
38.2	3.93952E-6
38.3	3.9678E-6
38.4	3.9964E-6
38.5	4.02531E-6
38.6	4.05455E-6
38.7	4.08412E-6
38.8	4.11403E-6
38.9	4.14428E-6
39	4.17487E-6
39.1	4.20582E-6
39.2	4.23713E-6
39.3	4.2688E-6
39.4	4.30085E-6
39.5	4.33328E-6
39.6	4.36609E-6
39.7	4.3993E-6
39.8	4.43292E-6
39.9	4.46695E-6
40	4.5014E-6
40.1	4.53629E-6
40.2	4.57161E-6
40.3	4.6074E-6
40.4	4.64364E-6
40.5	4.68037E-6
40.6	4.71759E-6
40.7	4.75532E-6
40.8	4.79357E-6
40.9	4.83236E-6
41	4.87172E-6
41.1	4.91166E-6
41.2	4.95221E-6
41.3	4.99338E-6
41.4	5.03522E-6
41.5	5.07774E-6
41.6	5.12099E-6
41.7	5.165E-6
41.8	5.20981E-6
41.9	5.25547E-6
42	5.30203E-6
42.1	5.34954E-6
42.2	5.39806E-6
42.3	5.44766E-6
42.4	5.49842E-6
42.5	5.55042E-6
42.6	5.60375E-6
42.7	5.65851E-6
42.8	5.71482E-6
42.9	5.77279E-6
43	5.83257E-6
43.1	5.8943E-6
43.2	5.95815E-6
43.3	6.02429E-6
43.4	6.09294E-6
43.5	6.16431E-6
43.6	6.23863E-6
43.7	6.31618E-6
43.8	6.39724E-6
43.9	6.48212E-6
44	6.57118E-6
44.1	6.66478E-6
44.2	6.76333E-6
